diet_score,sleep_hours,activity_level,bmi,hrs_score,bmi_category,health_risk_category
49.31,5.37,8.24,20.84,31.75,Normal,Moderate
73.67,7.47,6.61,26.56,26.84,Overweight,Low
84.63,7.65,8.78,20.24,12.31,Normal,Low
90.3,7.28,5.07,23.74,18.62,Normal,Low
81.67,8.16,10.0,21.89,8.68,Normal,Low
56.02,7.11,4.13,28.09,42.74,Overweight,Moderate
64.35,7.47,3.51,21.94,22.22,Normal,Low
71.8,7.36,2.54,30.06,46.24,Obese,Moderate
60.18,6.89,10.0,24.02,19.33,Normal,Low
60.35,6.36,7.0,22.08,22.64,Normal,Low
72.83,9.66,4.46,19.18,38.4,Normal,Moderate
